iter	RMSE
0	1.713350532
1	1.712726269
2	1.712248534
3	1.711614236
4	1.710973333
5	1.710548056
6	1.710078894
7	1.709598542
8	1.709112454
9	1.708482054
10	1.708006991
11	1.707500288
12	1.706985558
13	1.706496949
14	1.705884962
15	1.705259769
16	1.704649671
17	1.704173056
18	1.703541794
19	1.702928701
20	1.702316568
21	1.701706892
22	1.701082786
23	1.700456531
24	1.699863003
25	1.699409377
26	1.698783837
27	1.698192772
28	1.697716444
29	1.697243251
30	1.696780386
31	1.696216986
32	1.695724318
33	1.695138916
34	1.694688769
35	1.694080434
36	1.693635615
37	1.693198678
38	1.692754802
39	1.692144217
40	1.691679302
41	1.691210598
42	1.690609408
43	1.69013772
44	1.689701707
45	1.689090811
46	1.688632304
47	1.688055803
48	1.687595869
49	1.687020949
50	1.686424242
51	1.685980353
52	1.685377497
53	1.684948433
54	1.684354747
55	1.683897982
56	1.683344171
57	1.682896289
58	1.682296878
59	1.681853526
60	1.681264526
61	1.680836201
62	1.680247991
63	1.679672351
64	1.679076831
65	1.678647826
66	1.678065366
67	1.677629081
68	1.677181498
69	1.676591271
70	1.676160311
71	1.675724559
72	1.675291216
73	1.674851627
74	1.674408628
75	1.673832401
76	1.673285884
77	1.672718944
78	1.672285846
79	1.671850272
80	1.671424337
81	1.670842283
82	1.670417704
83	1.669994868
84	1.669591053
85	1.669153796
86	1.668578951
87	1.668009029
88	1.667440235
89	1.666872341
90	1.666305983
91	1.665883178
92	1.665318333
93	1.664754338
94	1.664182543
95	1.663615428
96	1.663188609
97	1.662627936
98	1.662205639
99	1.661646463
100	1.661088698
101	1.660677575
102	1.660261682
103	1.65982189
104	1.659257574
105	1.658844654
106	1.658433373
107	1.657872068
108	1.657354818
109	1.656945016
110	1.65639431
111	1.65584526
112	1.655295791
113	1.654745903
114	1.65433368
115	1.653896453
116	1.653358099
117	1.652939653
118	1.652566095
119	1.652164452
120	1.651621513
121	1.651073545
122	1.650531211
123	1.650133367
124	1.649736088
125	1.649321934
126	1.648894727
127	1.648507489
128	1.648111967
129	1.647594841
130	1.647205626
131	1.646788891
132	1.646385213
133	1.645980689
134	1.645438356
135	1.645050844
136	1.644644737
137	1.644264422
138	1.643844507
139	1.643452144
140	1.642913551
141	1.642510775
142	1.64197999
143	1.64158536
144	1.641048744
145	1.640658336
146	1.640276682
147	1.639741214
148	1.639367201
149	1.638986849
150	1.638476237
151	1.637972313
152	1.63759186
153	1.637202042
154	1.63668057
155	1.63628401
156	1.635918647
157	1.635418869
158	1.635038754
159	1.634651317
160	1.634273405
161	1.63389588
162	1.633510503
163	1.63300116
164	1.632492638
165	1.631979327
166	1.631624994
167	1.631259469
168	1.630738754
169	1.630363942
170	1.629851513
171	1.629472291
172	1.629095942
173	1.628605827
174	1.628090161
175	1.627707903
176	1.62735932
177	1.626845883
178	1.626467722
179	1.625994532
180	1.625622822
181	1.625117735
182	1.624751437
183	1.624247751
184	1.62388588
185	1.623529682
186	1.623028608
187	1.622524491
188	1.62215173
189	1.621782178
190	1.62128316
191	1.620922268
192	1.620565498
193	1.620208258
194	1.619851091
195	1.619362463
196	1.618869215
197	1.618401084
198	1.618056214
199	1.617703128
200	1.617335923
201	1.616976402
202	1.616679161
203	1.616341479
204	1.615850839
205	1.615492841
206	1.615133712
207	1.614637501
208	1.6141813
209	1.613695191
210	1.61320569
211	1.61272144
212	1.612366851
213	1.6120109
214	1.611657731
215	1.611326566
216	1.610969138
217	1.610624439
218	1.610150847
219	1.609813452
220	1.609341128
221	1.608862132
222	1.608385057
223	1.607917659
224	1.607574375
225	1.607091304
226	1.606609017
227	1.606134345
228	1.605753714
229	1.605276651
230	1.604914214
231	1.604454334
232	1.604001016
233	1.603536677
234	1.603200545
235	1.60286547
236	1.602389723
237	1.602051739
238	1.601747046
239	1.601281014
240	1.600919721
241	1.600598389
242	1.600272227
243	1.599808468
244	1.599344927
245	1.598875179
246	1.598537536
247	1.59821704
248	1.597873627
249	1.597535137
250	1.597209137
251	1.596877107
252	1.596425783
253	1.595960161
254	1.595601377
255	1.595141973
256	1.594822349
257	1.59436637
258	1.593916878
259	1.59345517
260	1.592999221
261	1.592685997
262	1.592226109
263	1.591901278
264	1.591441683
265	1.59099073
266	1.590540859
267	1.59023017
268	1.589916265
269	1.589600956
270	1.589146647
271	1.588697567
272	1.588399984
273	1.588079719
274	1.587802765
275	1.587488308
276	1.587043654
277	1.586723477
278	1.586407353
279	1.586067933
280	1.58575584
281	1.585321639
282	1.585017113
283	1.584604086
284	1.584251691
285	1.583810424
286	1.583380401
287	1.582940526
288	1.582627511
289	1.582321297
290	1.581900811
291	1.581465428
292	1.581191482
293	1.580756687
294	1.580321005
295	1.580032781
296	1.579599841
297	1.579306641
298	1.578882366
299	1.578443951
300	1.578013726
301	1.577584718
302	1.577188764
303	1.576752574
304	1.576472751
305	1.576173813
306	1.575893509
307	1.575482927
308	1.57517182
309	1.574873866
310	1.574447499
311	1.574019905
312	1.573594743
313	1.573305948
314	1.573015935
315	1.572769759
316	1.572344907
317	1.572040508
318	1.571764916
319	1.57135566
320	1.571068288
321	1.570735084
322	1.57030991
323	1.569892306
324	1.569603798
325	1.569324018
326	1.569030382
327	1.568733899
328	1.568447638
329	1.568153327
330	1.567817604
331	1.567396751
332	1.567126426
333	1.566707819
334	1.566440109
335	1.566028387
336	1.565624721
337	1.565240356
338	1.564925887
339	1.564560934
340	1.564275981
341	1.563861645
342	1.563454877
343	1.563172897
344	1.562917021
345	1.562647277
346	1.562234682
347	1.561916065
348	1.561509879
349	1.561113238
350	1.560710804
351	1.560433938
352	1.560032539
353	1.559759303
354	1.559373027
355	1.558977805
356	1.558699857
357	1.55843179
358	1.558032564
359	1.557635062
360	1.557353211
361	1.556970689
362	1.55657489
363	1.556177278
364	1.555775715
365	1.555379422
366	1.555000062
367	1.55460005
368	1.554325872
369	1.553938737
370	1.553547776
371	1.553286881
372	1.552906001
373	1.552649105
374	1.552258063
375	1.551862935
376	1.551467888
377	1.551157857
378	1.550770331
379	1.550498765
380	1.550117653
381	1.549850935
382	1.549597649
383	1.549212503
384	1.548825245
385	1.548434995
386	1.548170004
387	1.54778764
388	1.547406113
389	1.547141397
390	1.546757541
391	1.546495941
392	1.546110219
393	1.545731819
394	1.545367303
395	1.544989949
396	1.544606552
397	1.54435212
398	1.544086584
399	1.543813259
400	1.543549609
401	1.54319364
402	1.542933338
403	1.542553809
404	1.542272253
405	1.542011908
406	1.541639446
407	1.541385024
408	1.541087703
409	1.540709565
410	1.540464252
411	1.540117377
412	1.539746427
413	1.539371998
414	1.539004421
415	1.538641542
416	1.538363893
417	1.538108544
418	1.537736731
419	1.537490273
420	1.537125069
421	1.536754307
422	1.536520487
423	1.536169968
424	1.535930334
425	1.535568011
426	1.535327089
427	1.534965779
428	1.534598571
429	1.534232585
430	1.533977841
431	1.533611396
432	1.533250401
433	1.533004269
434	1.532653238
435	1.532289867
436	1.5319372
437	1.531589475
438	1.531232464
439	1.53087205
440	1.530635768
441	1.530396476
442	1.530049678
443	1.529811909
444	1.529471929
445	1.529224238
446	1.528978269
447	1.528734869
448	1.52848642
449	1.528148572
450	1.52779188
451	1.527455154
452	1.527219492
453	1.52687543
454	1.526521572
455	1.526174331
456	1.525947015
457	1.525607289
458	1.525261738
459	1.525011436
460	1.524683927
461	1.524339573
462	1.523989763
463	1.523645135
464	1.523306174
465	1.522964225
466	1.522660295
467	1.522410076
468	1.522064056
469	1.521724
470	1.521496586
471	1.521227358
472	1.520882571
473	1.520645688
474	1.520379873
475	1.52004007
476	1.51979773
477	1.51957018
478	1.519340373
479	1.519004573
480	1.518669346
481	1.518438395
482	1.518216451
483	1.51788126
484	1.517645123
485	1.517419183
486	1.517196553
487	1.516967794
488	1.516741885
489	1.516417964
490	1.51618795
491	1.515860707
492	1.515524676
493	1.515260634
494	1.515039857
495	1.514711069
496	1.514388199
497	1.51406042
498	1.513736557
499	1.51340757
500	1.513193428
501	1.512970045
502	1.512644669
503	1.51242303
504	1.512201568
505	1.511870942
506	1.511744862
507	1.51152747
508	1.511308347
509	1.510984407
510	1.510735645
511	1.510412571
512	1.510094614
513	1.509884732
514	1.50956206
515	1.509245507
516	1.508926613
517	1.508703348
518	1.508484592
519	1.508170213
520	1.507948374
521	1.5076344
522	1.507370833
523	1.507058137
524	1.506816027
525	1.506566807
526	1.506250125
527	1.505929058
528	1.505625836
529	1.505309865
530	1.505099076
531	1.504780538
532	1.504529907
533	1.504322135
534	1.504009194
535	1.503758894
536	1.503453012
537	1.503140428
538	1.502833783
539	1.50252437
540	1.502220518
541	1.501906019
542	1.501706996
543	1.501479836
544	1.501167132
545	1.500854898
546	1.500621249
547	1.500387383
548	1.500081784
549	1.499780518
550	1.499469926
551	1.499165953
552	1.498865584
553	1.49866439
554	1.498359567
555	1.498072273
556	1.497764403
557	1.497457061
558	1.497262681
559	1.496967761
560	1.496674567
561	1.496385789
562	1.496188202
563	1.495884856
564	1.495685629
565	1.495406326
566	1.495114499
567	1.494812376
568	1.494582535
569	1.494284061
570	1.49409263
571	1.493804089
572	1.493504704
573	1.493311418
574	1.493015104
575	1.492816056
576	1.492517005
577	1.492229826
578	1.491960301
579	1.491667632
580	1.491379402
581	1.491088795
582	1.490890089
583	1.490691157
584	1.490471233
585	1.490177364
586	1.489990946
587	1.48983429
588	1.489552534
589	1.489363989
590	1.489196506
591	1.488909269
592	1.488717315
593	1.48844111
594	1.48815513
595	1.487873278
596	1.487582038
597	1.487291302
598	1.487010877
599	1.48672803
600	1.486439695
601	1.486226989
602	1.485949876
603	1.485761567
604	1.48549765
605	1.485302219
606	1.485118181
607	1.484847717
608	1.484567714
609	1.484282312
610	1.484229295
611	1.483944029
612	1.483659616
613	1.483380469
614	1.483188992
615	1.482959406
616	1.482840602
617	1.482671084
618	1.482393468
619	1.482119853
620	1.481854037
621	1.481573067
622	1.481298276
623	1.481024131
624	1.480744196
625	1.480563838
626	1.480284686
627	1.480006798
628	1.479728985
629	1.47953343
630	1.479257004
631	1.479077633
632	1.478811925
633	1.478629327
634	1.47846115
635	1.478253203
636	1.477977849
637	1.477807534
638	1.477631052
639	1.477366156
640	1.477107925
641	1.476861273
642	1.476643738
643	1.476372023
644	1.476197732
645	1.475932516
646	1.475667763
647	1.475419275
648	1.475220015
649	1.475012763
650	1.474746347
651	1.474477115
652	1.474273541
653	1.474094571
654	1.473831916
655	1.473573104
656	1.473402242
657	1.473230579
658	1.472963846
659	1.472787733
660	1.47252728
661	1.472261705
662	1.471996969
663	1.471887919
664	1.471747985
665	1.471493557
666	1.47133081
667	1.471131756
668	1.470969858
669	1.470809961
670	1.470550317
671	1.470299141
672	1.470047078
673	1.469795809
674	1.469549301
675	1.469386502
676	1.469126116
677	1.468869314
678	1.468704091
679	1.468448668
680	1.468195602
681	1.467940389
682	1.467683103
683	1.46743322
684	1.467268904
685	1.467101828
686	1.46684537
687	1.466589361
688	1.466427208
689	1.466261079
690	1.466107048
691	1.465863132
692	1.465614187
693	1.465359812
694	1.465105882
695	1.46493584
696	1.46477451
697	1.464522035
698	1.464275335
699	1.464115198
700	1.463943991
701	1.46369621
702	1.463445568
703	1.463247814
704	1.463031138
705	1.462802206
706	1.462643923
707	1.462395592
708	1.462213339
709	1.461964585
710	1.461773826
711	1.461525748
712	1.461283786
713	1.461129522
714	1.460888533
715	1.460647776
716	1.460407633
717	1.460161897
718	1.460000172
719	1.459755143
720	1.459511033
721	1.459364397
722	1.459202338
723	1.459005214
724	1.458762607
725	1.458586431
726	1.458397772
727	1.458250657
728	1.458068341
729	1.457859164
730	1.457618632
731	1.45737793
732	1.457137141
733	1.456897567
734	1.456749157
735	1.456510256
736	1.456272077
737	1.456038109
738	1.455813586
739	1.455660918
740	1.455515195
741	1.455358446
742	1.455141242
743	1.454914024
744	1.454691345
745	1.454537742
746	1.454306737
747	1.454074973
748	1.453843233
749	1.453615955
750	1.453462693
751	1.453323648
752	1.453091574
753	1.452956231
754	1.45277127
755	1.452545734
756	1.452314925
757	1.452086504
758	1.451862145
759	1.45163166
760	1.451406029
761	1.451242628
762	1.451076722
763	1.450944767
764	1.450720333
765	1.450583412
766	1.450354183
767	1.450148335
768	1.449928215
769	1.449716697
770	1.44953213
771	1.449396983
772	1.449258705
773	1.449038797
774	1.44882221
775	1.448687422
776	1.44853852
777	1.448325807
778	1.448103543
779	1.447878999
780	1.447736327
781	1.447554235
782	1.447343336
783	1.447201333
784	1.446981476
785	1.446765384
786	1.446548071
787	1.446327286
788	1.446183903
789	1.445967335
790	1.44574667
791	1.445608765
792	1.445397726
793	1.445185351
794	1.445055464
795	1.444927954
796	1.444711878
797	1.444583355
798	1.444445557
799	1.444234738
800	1.444024295
801	1.443890201
802	1.443681042
803	1.443476392
804	1.443303953
805	1.443172279
806	1.44300362
807	1.442799669
808	1.442583945
809	1.442413002
810	1.442272218
811	1.442119718
812	1.441973445
813	1.441763483
814	1.441641065
815	1.44142737
816	1.441294242
817	1.441163419
818	1.44107837
819	1.440904022
820	1.440692409
821	1.440491991
822	1.440316889
823	1.440109733
824	1.439983677
825	1.439784377
826	1.439699583
827	1.439569504
828	1.439391053
829	1.439254413
830	1.4390767
831	1.438872331
832	1.438747377
833	1.438610494
834	1.438401379
835	1.438192636
836	1.437992488
837	1.437789333
838	1.437586541
839	1.437456662
840	1.437367528
841	1.437211039
842	1.437076686
843	1.436944713
844	1.436741259
845	1.436535493
846	1.436380269
847	1.436186708
848	1.436057609
849	1.435857678
850	1.435725363
851	1.435607295
852	1.435411284
853	1.435207619
854	1.435004795
855	1.434802332
856	1.43460458
857	1.43448311
858	1.434292449
859	1.434095211
860	1.433898326
861	1.433698389
862	1.433502459
863	1.433307513
864	1.433175987
865	1.433057326
866	1.432931061
867	1.432814595
868	1.432615543
869	1.43242146
870	1.432265418
871	1.432099622
872	1.431905996
873	1.431713985
874	1.431571876
875	1.431378651
876	1.431192945
877	1.431004213
878	1.430807343
879	1.430619166
880	1.430428458
881	1.430307948
882	1.430113455
883	1.42996426
884	1.429804056
885	1.429685819
886	1.429573291
887	1.429446512
888	1.429255381
889	1.429139548
890	1.428945694
891	1.428823955
892	1.428636912
893	1.428452311
894	1.428265022
895	1.428107324
896	1.427918421
897	1.427799487
898	1.427611492
899	1.427425096
900	1.427292932
901	1.427107509
902	1.426947567
903	1.42676193
904	1.426577465
905	1.426388633
906	1.42626371
907	1.42614087
908	1.425993566
909	1.425805988
910	1.425676956
911	1.425560097
912	1.425448614
913	1.42526667
914	1.425105814
915	1.425000619
916	1.424843057
917	1.424740385
918	1.424615485
919	1.424466704
920	1.424357096
921	1.424178929
922	1.424060775
923	1.423944361
924	1.423770073
925	1.423635307
926	1.423529343
927	1.423411075
928	1.423229894
929	1.423127263
930	1.423012505
931	1.422887382
932	1.422780618
933	1.422597643
934	1.422487887
935	1.422339616
936	1.422162398
937	1.422051148
938	1.421897398
939	1.421722944
940	1.421557003
941	1.421451121
942	1.421374859
943	1.421261205
944	1.421157197
945	1.420984013
946	1.420808148
947	1.420696493
948	1.42052415
949	1.420409764
950	1.420235751
951	1.420129754
952	1.419969256
953	1.419790855
954	1.419662569
955	1.419553965
956	1.41945373
957	1.419280036
958	1.419170698
959	1.419003889
960	1.418834318
961	1.418668094
962	1.418526149
963	1.418423935
964	1.418284605
965	1.418114004
966	1.418011084
967	1.417887309
968	1.417719366
969	1.41761564
970	1.417506311
971	1.417334813
972	1.417165739
973	1.417062093
974	1.416889618
975	1.416777922
976	1.416653427
977	1.41648551
978	1.416337221
979	1.416227493
980	1.416085924
981	1.415980283
982	1.415810579
983	1.415701704
984	1.415592302
985	1.41542804
986	1.415312662
987	1.41521813
988	1.415130703
989	1.414960191
990	1.41485612
991	1.414715603
992	1.414618974
993	1.414459214
994	1.414386363
995	1.414266286
996	1.414124053
997	1.413961976
998	1.413798193
999	1.413629893
1000	1.413513272
1001	1.413355061
1002	1.413260479
1003	1.413094125
1004	1.412998036
1005	1.412854396
1006	1.412724482
1007	1.412564624
1008	1.412401048
1009	1.412235431
1010	1.412142586
1011	1.412018946
1012	1.411906218
1013	1.411812488
1014	1.411714775
1015	1.411550231
1016	1.411465286
1017	1.411299978
1018	1.411206532
1019	1.411051989
1020	1.410897645
1021	1.410753612
1022	1.41063459
1023	1.410545114
1024	1.410467595
1025	1.410310798
1026	1.41017837
1027	1.410015966
1028	1.409921438
1029	1.409761105
1030	1.409625762
1031	1.409464095
1032	1.409306969
1033	1.409214332
1034	1.409052719
1035	1.408931404
1036	1.408834755
1037	1.408709723
1038	1.408553916
1039	1.408403273
1040	1.408253022
1041	1.408100609
1042	1.407941559
1043	1.407784498
1044	1.407698997
1045	1.407539934
1046	1.407421489
1047	1.407269541
1048	1.407177746
1049	1.407062492
1050	1.406909427
1051	1.406752282
1052	1.406606962
1053	1.406452325
1054	1.406358383
1055	1.406264316
1056	1.406146908
1057	1.405991029
1058	1.405839044
1059	1.405752134
1060	1.40560615
1061	1.405469301
1062	1.405327201
1063	1.405181574
1064	1.40506775
1065	1.404976315
1066	1.404842203
1067	1.404725103
1068	1.404571793
1069	1.404458229
1070	1.404361915
1071	1.404268671
1072	1.404138953
1073	1.404047607
1074	1.403969889
1075	1.403880779
1076	1.403728735
1077	1.403587697
