iter	Passed	Remaining
0	1	8923
1	2	7403
2	3	6103
3	4	5352
4	4	4919
5	5	4589
6	6	4357
7	6	4184
8	7	4082
9	8	4134
10	9	4226
11	10	4444
12	11	4468
13	12	4500
14	13	4426
15	13	4353
16	14	4306
17	15	4417
18	17	4478
19	17	4432
20	18	4450
21	19	4486
22	20	4421
23	21	4362
24	22	4476
25	23	4556
26	24	4498
27	25	4448
28	25	4420
29	26	4401
30	27	4364
31	27	4321
32	28	4310
33	29	4271
34	29	4232
35	30	4198
36	31	4166
37	31	4137
38	32	4108
39	32	4078
40	33	4094
41	34	4124
42	35	4122
43	36	4147
44	37	4128
45	38	4103
46	38	4078
47	39	4057
48	39	4032
49	40	4010
50	41	4004
51	42	3998
52	42	3977
53	43	3960
54	43	3945
55	44	3927
56	45	3907
57	46	3923
58	47	4010
59	48	4019
60	49	4000
61	50	3984
62	50	3970
63	51	3958
64	52	3949
65	52	3957
66	53	3955
67	54	3947
68	55	3957
69	56	3947
70	56	3931
71	57	3917
72	58	3923
73	59	3928
74	60	3947
75	60	3934
76	61	3920
77	61	3907
78	62	3894
79	63	3886
80	63	3881
81	64	3875
82	65	3871
83	66	3866
84	66	3858
85	67	3849
86	68	3843
87	68	3834
88	69	3826
89	70	3835
90	71	3842
91	72	3850
92	72	3850
93	73	3846
94	74	3843
95	75	3877
96	77	3910
97	78	3937
98	79	3935
99	80	3934
100	81	3929
101	84	4041
102	85	4050
103	86	4052
104	86	4049
105	87	4048
106	88	4041
107	89	4033
108	89	4025
109	90	4017
110	91	4015
111	91	4006
112	92	4000
113	93	3997
114	94	4028
115	95	4036
116	96	4030
117	97	4022
118	97	4019
119	99	4026
120	99	4017
121	100	4008
122	100	3999
123	101	3990
124	102	3985
125	102	3978
126	103	3980
127	104	3972
128	105	3964
129	105	3959
130	106	3964
131	107	3959
132	107	3951
133	108	3943
134	109	3937
135	109	3932
136	110	3930
137	111	3929
138	112	3932
139	113	3926
140	116	4006
141	117	4003
142	118	4010
143	119	4019
144	121	4065
145	122	4067
146	123	4070
147	124	4076
148	124	4069
149	125	4061
150	126	4053
151	126	4045
152	127	4037
153	128	4029
154	128	4021
155	129	4014
156	129	4006
157	130	3999
158	131	3995
159	132	3998
160	133	4003
161	133	3996
162	134	3992
163	135	3985
164	135	3979
165	136	3973
166	137	3967
167	137	3960
168	138	3953
169	138	3946
170	139	3939
171	140	3933
172	140	3926
173	141	3920
174	142	3915
175	142	3910
176	143	3913
177	144	3912
178	145	3907
179	146	3911
180	146	3906
181	147	3900
182	147	3894
183	148	3889
184	149	3883
185	149	3877
186	150	3872
187	151	3866
188	151	3860
189	152	3855
190	152	3850
191	153	3844
192	154	3838
193	154	3833
194	155	3834
195	156	3832
196	159	3885
197	160	3893
198	161	3894
199	162	3896
200	163	3906
201	164	3902
202	164	3897
203	165	3891
204	166	3886
205	166	3881
206	167	3876
207	168	3876
208	169	3877
209	170	3890
210	171	3889
211	172	3887
212	172	3886
213	173	3880
214	174	3876
215	174	3872
216	177	3917
217	179	3928
218	179	3927
219	180	3925
220	181	3923
221	182	3921
222	182	3917
223	183	3914
224	184	3915
225	185	3912
226	185	3910
227	186	3905
228	187	3903
229	187	3898
230	188	3895
231	189	3891
232	190	3888
233	190	3886
234	192	3897
235	196	3958
236	196	3955
237	197	3949
238	197	3944
239	198	3938
240	199	3932
241	199	3927
242	200	3922
243	201	3919
244	202	3920
245	203	3927
246	209	4030
247	210	4031
248	211	4032
249	213	4052
250	214	4057
251	215	4065
252	216	4066
253	217	4071
254	219	4078
255	219	4075
256	220	4076
257	221	4072
258	222	4072
259	223	4068
260	223	4065
261	224	4063
262	225	4059
263	226	4057
264	226	4052
265	227	4050
266	228	4050
267	231	4082
268	232	4086
269	233	4083
270	233	4079
271	234	4076
272	235	4073
273	235	4070
274	236	4067
275	237	4068
276	238	4069
277	240	4083
278	246	4172
279	248	4187
280	250	4206
281	251	4203
282	252	4201
283	253	4201
284	253	4197
285	254	4193
286	255	4190
287	256	4196
288	257	4200
289	258	4199
290	259	4201
291	260	4198
292	261	4194
293	261	4188
294	262	4184
295	262	4178
296	263	4174
297	264	4180
298	266	4190
299	267	4186
300	267	4181
301	268	4176
302	269	4171
303	269	4166
304	270	4161
305	270	4156
306	271	4150
307	272	4145
308	272	4140
309	273	4135
310	273	4130
311	274	4125
312	275	4120
313	275	4115
314	276	4110
315	277	4114
316	278	4119
317	279	4115
318	280	4111
319	280	4106
320	281	4101
321	282	4097
322	282	4092
323	283	4088
324	283	4083
325	284	4080
326	285	4076
327	285	4071
328	286	4066
329	287	4062
330	287	4058
331	288	4054
332	288	4050
333	289	4048
334	290	4046
335	291	4044
336	292	4042
337	292	4039
338	293	4039
339	294	4039
340	295	4039
341	296	4038
342	297	4039
343	298	4036
344	298	4032
345	299	4027
346	300	4023
347	300	4019
348	301	4018
349	302	4022
350	303	4019
351	304	4018
352	305	4015
353	305	4011
354	306	4007
355	308	4020
356	309	4023
357	310	4025
358	311	4028
359	312	4025
360	312	4021
361	314	4024
362	315	4025
363	315	4022
364	316	4018
365	317	4014
366	317	4010
367	318	4006
368	319	4003
369	319	4001
370	320	3999
371	322	4006
372	322	4003
373	323	3999
374	324	3996
375	324	3993
376	325	3990
377	326	3987
378	326	3986
379	327	3985
380	328	3981
381	328	3977
382	329	3974
383	330	3971
384	331	3969
385	331	3965
386	332	3961
387	333	3959
388	333	3956
389	334	3954
390	335	3953
391	336	3951
392	336	3949
393	339	3966
394	340	3965
395	340	3962
396	341	3959
397	342	3957
398	342	3953
399	343	3949
400	343	3945
401	344	3941
402	345	3936
403	345	3932
404	346	3928
405	347	3926
406	347	3924
407	348	3922
408	349	3920
409	350	3929
410	351	3926
411	352	3924
412	353	3924
413	354	3922
414	355	3923
415	356	3923
416	356	3923
417	357	3922
418	358	3922
419	359	3919
420	360	3918
421	361	3916
422	362	3917
423	362	3915
424	363	3916
425	364	3915
426	365	3916
427	366	3914
428	367	3912
429	368	3914
430	369	3918
431	370	3917
432	371	3914
433	371	3912
434	373	3918
435	374	3923
436	375	3922
437	376	3920
438	377	3917
439	377	3914
440	378	3911
441	378	3907
442	379	3904
443	380	3900
444	380	3897
445	381	3894
446	381	3890
447	382	3887
448	383	3884
449	383	3881
450	384	3880
451	385	3880
452	386	3878
453	386	3874
454	387	3871
455	388	3868
456	388	3865
457	389	3862
458	390	3858
459	390	3855
460	391	3852
461	391	3849
462	392	3845
463	393	3842
464	393	3839
465	394	3836
466	394	3833
467	395	3830
468	396	3827
469	397	3831
470	398	3830
471	399	3828
472	399	3827
473	400	3824
474	401	3821
475	401	3818
476	402	3815
477	402	3812
478	403	3809
479	404	3806
480	404	3803
481	405	3800
482	406	3797
483	406	3794
484	407	3791
485	407	3788
486	408	3788
487	409	3788
488	411	3792
489	411	3790
490	412	3788
491	413	3785
492	413	3782
493	414	3779
494	415	3777
495	415	3774
496	416	3771
497	416	3768
498	417	3765
499	418	3763
500	418	3760
501	419	3758
502	420	3756
503	420	3754
504	422	3758
505	423	3758
506	423	3757
507	424	3755
508	425	3752
509	426	3750
510	426	3748
511	427	3746
512	428	3747
513	429	3745
514	429	3743
515	430	3742
516	431	3741
517	432	3738
518	432	3736
519	433	3738
520	434	3736
521	436	3742
522	436	3740
523	437	3738
524	438	3736
525	438	3733
526	439	3731
527	440	3729
528	441	3727
529	442	3728
530	442	3726
531	443	3725
532	444	3722
533	444	3720
534	446	3724
535	448	3731
536	449	3732
537	449	3730
538	450	3728
539	451	3726
540	451	3724
541	452	3721
542	453	3720
543	453	3717
544	454	3715
545	455	3713
546	455	3710
547	456	3708
548	457	3705
549	457	3702
550	461	3723
551	462	3725
552	462	3722
553	463	3720
554	464	3723
555	466	3725
556	466	3723
557	468	3729
558	469	3731
559	470	3729
560	472	3736
561	473	3739
562	474	3738
563	475	3736
564	475	3733
565	476	3732
566	477	3730
567	481	3759
568	482	3758
569	483	3759
570	485	3762
571	485	3760
572	486	3757
573	487	3756
574	487	3753
575	488	3752
576	489	3750
577	490	3748
578	490	3746
579	491	3744
580	492	3742
581	493	3743
582	493	3740
583	496	3753
584	497	3751
585	497	3749
586	498	3748
587	499	3746
588	500	3747
589	501	3745
590	501	3743
591	503	3747
592	504	3745
593	504	3743
594	505	3741
595	505	3738
596	507	3745
597	508	3744
598	509	3741
599	510	3740
600	510	3738
601	511	3736
602	512	3733
603	512	3731
604	513	3729
605	513	3726
606	514	3724
607	515	3721
608	516	3722
609	517	3723
610	518	3721
611	521	3736
612	521	3734
613	522	3733
614	523	3732
615	524	3731
616	525	3730
617	525	3727
618	526	3728
619	528	3730
620	528	3728
621	529	3726
622	530	3725
623	531	3728
624	532	3727
625	533	3725
626	534	3724
627	534	3722
628	535	3720
629	536	3718
630	536	3716
631	537	3716
